Date,daynight,code,site,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2019-07-03,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,18.206128393451557,18.714013060289812,14.669066831562038,23.269530800558776,19.728624278370038,21.24767142318497,17.201562068636083,16.190344400596697,27.828470371972447,23.78154954302507,-999,-999,-999,-999,-999,-999
2019-07-04,Home,LW1,Lewisham - Catford,24.974344265119065,37.124176083340494,30.375718289345553,37.46059728720452,32.36839385718269,36.43483213423627,30.37397390216785,28.85213468361324,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,43.056805818815185,32.930322814261295,17.225869799642986,36.48062056413456,52.689499734082936,51.675296701699295
2019-07-04,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,27.839243753940192,27.843090450363047,22.781645119853497,19.7463702820323,17.720249822777763,19.74764516672762,21.7758545289687,29.3713013476123,37.48450948776144,39.51301612544932,-999,-999,-999,-999,-999,-999
2019-07-05,Home,LW1,Lewisham - Catford,36.477647526526056,27.7030319205904,15.202270143208269,15.70943928068812,16.723865082263206,16.724575394383837,17.22581209962184,16.721757538614618,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,67.90803172545334,45.64190642217588,55.777397489285484,61.365677620196166,60.85317351165307,44.630633638795935
2019-07-05,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,20.270600758564537,31.418509321348274,36.98067873496542,35.47470523859958,40.54440309879462,33.45410397827936,34.97899766866894,41.570175886740685,40.055031519152124,41.069507447966394,-999,-999,-999,-999,-999,-999
2019-07-06,Home,LW1,Lewisham - Catford,38.54871651051099,35.843711199458156,17.75403588804163,12.680855436622233,19.78312443923494,13.187632526529981,9.634285444112969,8.618870701411518,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,14.71815861004979,15.73422251136946,17.764939820852618,14.211686895837417,16.243000769974213,23.344984429868752
2019-07-06,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,9.1271226015088,9.634153627192628,16.73485855424587,9.637452830058733,10.144994262800891,10.653442758332098,10.146218770697088,13.19252968709021,12.685373867150304,11.16367862461022,-999,-999,-999,-999,-999,-999
2019-07-07,Home,LW1,Lewisham - Catford,20.30328289163047,16.920382460504772,11.672377969174091,8.121652660493654,9.645293188398895,10.150832493945673,13.706136522465467,17.262494647663562,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,35.049623086824106,23.877502818655184,32.51556787396965,36.583081027804056,22.86430764210857,17.274611903032714
2019-07-07,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,14.722732713335002,16.243185860879088,24.363209152356816,24.364146887398746,20.302713457593583,19.29005597314161,16.755387890735673,14.218636256041254,19.80778524523395,30.987029225228866,-999,-999,-999,-999,-999,-999
2019-07-08,Home,LW1,Lewisham - Catford,16.939107519178393,10.163679577960586,16.264421577520665,19.82298230014521,37.60239808625759,41.664372068765424,36.074281364907286,34.04017178918418,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,28.480999980628532,30.00836154511106,29.49914721730003,25.42899296696676,13.223765941222856,11.191119153120214
2019-07-08,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,32.002769311139595,25.398592132319408,23.379230687177774,27.951829742769643,35.06499919309154,36.591205758805025,26.437983823125958,26.43598414032245,33.5591551070604,30.003275084445836,-999,-999,-999,-999,-999,-999
2019-07-09,Home,LW1,Lewisham - Catford,12.887730379000207,10.852113387188279,11.191422705520305,13.228129270315936,34.071336956741504,45.262611825033574,46.7914088951659,52.375771068264335,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,61.57799065705715,48.35532988748975,57.519648520236,53.96322432559186,56.49859365099796,42.25893525035585
2019-07-09,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,53.37633172774189,49.30701845115437,38.13551881848651,33.06069261560713,36.62750893643728,42.2254485936537,50.35714948582099,34.09617500917405,30.031349063535238,59.03869495239207,-999,-999,-999,-999,-999,-999
2019-07-10,Home,LW1,Lewisham - Catford,38.01906824964357,28.514679443881246,26.988843415120883,37.675642043421924,50.389796182059925,66.15518425500538,52.412515219781064,39.69820657709387,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,40.252473151437336,44.82659776687858,36.69154466565978,52.99280186120336,37.71608882804157,29.563032086104315
2019-07-10,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,34.60491398676707,37.143751427321064,26.469944628332364,29.52127618195042,25.965393235082246,36.643404150484685,44.291008443569865,43.281893789974326,42.77752706210571,51.44346641253625,-999,-999,-999,-999,-999,-999
2019-07-11,Home,LW1,Lewisham - Catford,16.992201347205032,14.953465285305006,20.389458890935423,22.938635502458325,32.625835562964504,42.31425078041814,38.745933624995835,49.92965193659805,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,32.128797812365555,27.510339206633347,21.422258738407784,19.38326365464804,34.68973045717853,29.592752010096813
2019-07-11,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,39.23845060477649,42.29468708102793,25.483343243377828,30.059776029220874,15.801318485086528,25.486975709151544,21.41514943647508,20.396912762119282,20.907360438125586,20.399290524621506,-999,-999,-999,-999,-999,-999
2019-07-12,Home,LW1,Lewisham - Catford,18.366461694442183,13.604450096724909,10.204772847216802,9.18428595923775,11.737060603695749,10.204680438271671,12.753559316686863,11.732328918305436,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9.189958214198784,12.765869987759938,13.27721710706023,13.277742401540037,13.788461118864706,14.300601371784815
2019-07-12,Work,LW1,Lewisham - Catford,-999,-999,-999,-999,-999,-999,-999,-999,14.793374865062077,10.202202275772578,9.692676681448095,10.206463929547269,9.694836396934415,7.653281531029883,7.65356573072393,7.656692358832993,7.656994508844336,7.656604361852042,-999,-999,-999,-999,-999,-999
2019-07-13,Home,LW1,Lewisham - Catford,12.257546216022996,12.258155155216715,10.21483806943611,12.765036873967086,14.800752561237571,10.724921553139893,9.699678399389436,10.719970300075671,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,15.332101497181148,17.37646280222459,18.401317838852098,28.626003322475896,32.71575234287043,40.89175008109604
