 "tick, patch-x, patch-y, monitor_type, monitor_code, no2"
41, 101, 59, Roadside, GN0, 156
41, 67, 64, Roadside, WMB, 244
41, 123, 67, Roadside, HV1, 177
41, 105, 58, Roadside, GN3, 157
41, 65, 64, Kerbside, WM6, 227
42, 118, 81, Roadside, HV3, 112
42, 104, 50, Roadside, GB6, 145
42, 47, 73, Roadside, BT4, 150
42, 48, 43, Roadside, KT6, 126
42, 46, 66, Roadside, EI1, 146
42, 54, 68, Roadside, BT8, 144
42, 101, 59, Roadside, GN0, 122
42, 70, 75, Roadside, IS2, 143
42, 67, 64, Roadside, WMB, 160
42, 49, 70, Roadside, BT6, 114
42, 65, 64, Kerbside, WM6, 154
42, 87, 52, Roadside, LW4, 159
42, 123, 67, Roadside, HV1, 101
42, 94, 81, Roadside, RB4, 135
42, 105, 58, Roadside, GN3, 112
43, 101, 59, Roadside, GN0, 101
43, 87, 52, Roadside, LW4, 152
43, 47, 73, Roadside, BT4, 263
43, 104, 50, Roadside, GB6, 108
43, 65, 64, Kerbside, WM6, 215
43, 67, 64, Roadside, WMB, 181
43, 94, 81, Roadside, RB4, 154
43, 46, 66, Roadside, EI1, 201
43, 105, 58, Roadside, GN3, 180
43, 48, 43, Roadside, KT6, 123
43, 49, 70, Roadside, BT6, 150
43, 70, 75, Roadside, IS2, 192
43, 118, 81, Roadside, HV3, 115
43, 54, 68, Roadside, BT8, 153
43, 123, 67, Roadside, HV1, 177
44, 94, 81, Roadside, RB4, 101
44, 54, 68, Roadside, BT8, 182
44, 49, 70, Roadside, BT6, 172
44, 48, 43, Roadside, KT6, 127
44, 65, 64, Kerbside, WM6, 131
44, 123, 67, Roadside, HV1, 79
44, 87, 52, Roadside, LW4, 146
44, 47, 73, Roadside, BT4, 185
44, 118, 81, Roadside, HV3, 87
44, 105, 58, Roadside, GN3, 113
44, 104, 50, Roadside, GB6, 146
44, 101, 59, Roadside, GN0, 112
44, 70, 75, Roadside, IS2, 131
44, 46, 66, Roadside, EI1, 122
44, 67, 64, Roadside, WMB, 197
45, 65, 64, Kerbside, WM6, 157
45, 118, 81, Roadside, HV3, 76
45, 48, 43, Roadside, KT6, 123
